Date|Value
04/01/2024 08:10:00|17.1
04/01/2024 08:25:00|17.1
04/01/2024 08:40:00|17.1
04/01/2024 08:55:00|17
04/01/2024 09:10:00|17.1
04/01/2024 09:25:00|17.1
04/01/2024 09:40:00|17.1
04/01/2024 09:55:00|17
04/01/2024 10:10:00|17.1
04/01/2024 10:25:00|17
04/01/2024 10:40:00|17
04/01/2024 10:55:00|17
04/01/2024 11:10:00|17
04/01/2024 11:25:00|17.1
04/01/2024 11:40:00|17
04/01/2024 11:55:00|17
04/01/2024 12:10:00|17
04/01/2024 12:24:59|17.1
04/01/2024 12:39:59|17
04/01/2024 12:54:59|17.1
04/01/2024 13:09:59|17.1
04/01/2024 13:24:59|17.1
04/01/2024 13:39:59|17.1
04/01/2024 13:54:59|17.1
04/01/2024 14:09:59|17.1
04/01/2024 14:24:59|17.1
04/01/2024 14:39:59|17.1
04/01/2024 14:54:59|17.1
04/01/2024 15:09:59|17.1
04/01/2024 15:24:59|17.1
04/01/2024 15:39:59|17.1
04/01/2024 15:54:59|17.1
04/01/2024 16:09:59|17.1
04/01/2024 16:24:59|17.1
04/01/2024 16:39:59|17.1
04/01/2024 16:54:59|17.1
04/01/2024 17:09:59|17.1
04/01/2024 17:24:58|17.1
04/01/2024 17:39:58|17.1
04/01/2024 17:54:58|17.1
04/01/2024 18:09:58|17
04/01/2024 18:24:58|17
04/01/2024 18:39:58|17
04/01/2024 18:54:58|17
04/01/2024 19:09:58|17
04/01/2024 19:24:58|17
04/01/2024 19:39:58|16.9
04/01/2024 19:54:58|16.9
04/01/2024 20:09:58|16.9
04/01/2024 20:24:58|16.9
04/01/2024 20:39:58|16.9
04/01/2024 20:54:58|16.9
04/01/2024 21:09:58|16.9
04/01/2024 21:24:58|16.9
04/01/2024 21:39:58|16.9
04/01/2024 21:54:58|16.8
04/01/2024 22:09:58|16.8
04/01/2024 22:24:57|16.7
04/01/2024 22:39:57|16.7
04/01/2024 22:54:57|16.7
04/01/2024 23:09:57|16.7
04/01/2024 23:24:57|16.7
04/01/2024 23:39:57|16.7
04/01/2024 23:54:57|16.6
04/02/2024 00:09:57|16.5
04/02/2024 00:24:57|16.6
04/02/2024 00:39:57|16.5
04/02/2024 00:54:57|16.5
04/02/2024 01:09:57|16.5
04/02/2024 01:24:57|16.4
04/02/2024 01:39:57|16.4
04/02/2024 01:54:57|16.4
04/02/2024 02:09:57|16.4
04/02/2024 02:24:57|16.3
04/02/2024 02:39:57|16.3
04/02/2024 02:54:57|16.2
04/02/2024 03:09:57|16.2
04/02/2024 03:24:56|16.2
04/02/2024 03:39:56|16.1
04/02/2024 03:54:56|16.1
04/02/2024 04:09:56|16
04/02/2024 04:24:56|16.1
04/02/2024 04:39:56|16
04/02/2024 04:54:56|16
04/02/2024 05:09:56|16
04/02/2024 05:24:56|16.2
04/02/2024 05:39:56|16.3
04/02/2024 05:54:56|16.3
04/02/2024 06:09:56|16.3
04/02/2024 06:24:56|16.3
04/02/2024 06:39:56|16.3
04/02/2024 06:54:56|16.3
04/02/2024 07:09:56|16.2
04/02/2024 07:24:56|16.2
04/02/2024 07:39:56|16.3
04/02/2024 07:54:56|16.2
04/02/2024 08:09:56|16.2
04/02/2024 08:24:55|16.2
04/02/2024 08:39:55|16.1
04/02/2024 08:54:55|16.2
04/02/2024 09:09:55|16.2
04/02/2024 09:24:55|16.4
04/02/2024 09:39:55|16.4
04/02/2024 09:54:55|16.4
04/02/2024 10:09:55|16.3
04/02/2024 10:24:55|16.3
04/02/2024 10:39:55|16.3
04/02/2024 10:54:55|16.4
04/02/2024 11:09:55|16.5
04/02/2024 11:24:55|16.5
04/02/2024 11:39:55|16.7
04/02/2024 11:54:55|16.9
04/02/2024 12:09:55|16.8
04/02/2024 12:24:55|16.9
04/02/2024 12:39:55|16.9
04/02/2024 12:54:55|16.8
04/02/2024 13:09:55|16.7
04/02/2024 13:24:55|16.6
04/02/2024 13:39:54|16.6
04/02/2024 13:54:54|16.6
04/02/2024 14:09:54|16.6
04/02/2024 14:24:54|16.6
04/02/2024 14:39:54|16.5
04/02/2024 14:54:54|16.6
04/02/2024 15:09:54|16.6
04/02/2024 15:24:54|16.6
04/02/2024 15:39:54|16.6
